areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesBySpecimenDate,newDailyNsoDeathsByDeathDate,newPeopleVaccinatedCompleteByPublishDate
K02000001,United Kingdom,overview,2021-09-01,7596,,7235,,113385
K02000001,United Kingdom,overview,2021-08-31,7620,,36174,,119402
K02000001,United Kingdom,overview,2021-08-30,7285,,32020,,66648
K02000001,United Kingdom,overview,2021-08-29,7059,848,24861,,79440
K02000001,United Kingdom,overview,2021-08-28,6932,847,26443,,133688
K02000001,United Kingdom,overview,2021-08-27,7041,923,32905,,131456
K02000001,United Kingdom,overview,2021-08-26,6996,949,36911,,144936
K02000001,United Kingdom,overview,2021-08-25,6953,1024,38026,,161705
K02000001,United Kingdom,overview,2021-08-24,6932,985,36942,,130676
K02000001,United Kingdom,overview,2021-08-23,6991,953,38931,,131283
K02000001,United Kingdom,overview,2021-08-22,6722,823,28235,,116352
K02000001,United Kingdom,overview,2021-08-21,6508,865,28006,,194881
K02000001,United Kingdom,overview,2021-08-20,6499,864,31599,55,167392
K02000001,United Kingdom,overview,2021-08-19,6489,938,35766,68,175059
K02000001,United Kingdom,overview,2021-08-18,6448,900,37914,73,169223
K02000001,United Kingdom,overview,2021-08-17,6393,961,37077,78,145875
K02000001,United Kingdom,overview,2021-08-16,6369,868,36115,73,138390
K02000001,United Kingdom,overview,2021-08-15,6034,806,24857,80,126383
K02000001,United Kingdom,overview,2021-08-14,5870,787,24590,98,199584
K02000001,United Kingdom,overview,2021-08-13,5971,786,28380,90,171585
K02000001,United Kingdom,overview,2021-08-12,5943,857,31017,93,192559
K02000001,United Kingdom,overview,2021-08-11,5991,843,32649,79,173761
K02000001,United Kingdom,overview,2021-08-10,6009,893,30832,76,151143
K02000001,United Kingdom,overview,2021-08-09,6005,754,31475,81,137028
K02000001,United Kingdom,overview,2021-08-08,5845,741,22360,80,122070
K02000001,United Kingdom,overview,2021-08-07,5691,723,22090,102,213583
K02000001,United Kingdom,overview,2021-08-06,5740,774,27490,89,168356
K02000001,United Kingdom,overview,2021-08-05,5745,805,31025,95,172692
K02000001,United Kingdom,overview,2021-08-04,5782,833,31646,90,165669
K02000001,United Kingdom,overview,2021-08-03,5997,760,29766,76,142761
K02000001,United Kingdom,overview,2021-08-02,6205,784,29218,87,126192
K02000001,United Kingdom,overview,2021-08-01,5972,739,20469,95,118044
K02000001,United Kingdom,overview,2021-07-31,5948,674,20132,86,212014
K02000001,United Kingdom,overview,2021-07-30,6009,742,24239,96,171096
K02000001,United Kingdom,overview,2021-07-29,5976,833,27839,84,179918
K02000001,United Kingdom,overview,2021-07-28,6100,850,29573,79,171173
K02000001,United Kingdom,overview,2021-07-27,6088,916,28978,74,151650
K02000001,United Kingdom,overview,2021-07-26,5996,935,29299,75,148936
K02000001,United Kingdom,overview,2021-07-25,5639,937,21740,68,117956
K02000001,United Kingdom,overview,2021-07-24,5370,826,22436,65,203886
K02000001,United Kingdom,overview,2021-07-23,5303,862,27204,78,189341
K02000001,United Kingdom,overview,2021-07-22,5091,953,30642,83,188297
K02000001,United Kingdom,overview,2021-07-21,4921,928,34887,58,183338
K02000001,United Kingdom,overview,2021-07-20,4733,934,39032,64,161279
K02000001,United Kingdom,overview,2021-07-19,4642,872,46840,84,143560
K02000001,United Kingdom,overview,2021-07-18,4339,795,35465,70,128878
K02000001,United Kingdom,overview,2021-07-17,4224,709,37819,59,225214
K02000001,United Kingdom,overview,2021-07-16,4144,698,54200,52,202314
K02000001,United Kingdom,overview,2021-07-15,4031,771,60702,50,201893
K02000001,United Kingdom,overview,2021-07-14,3850,753,53780,43,185661
K02000001,United Kingdom,overview,2021-07-13,3667,749,46707,49,158276
K02000001,United Kingdom,overview,2021-07-12,3452,731,43605,39,125360
K02000001,United Kingdom,overview,2021-07-11,3176,592,30007,35,107620
K02000001,United Kingdom,overview,2021-07-10,3030,550,27859,43,211446
K02000001,United Kingdom,overview,2021-07-09,2933,556,32205,48,178819
K02000001,United Kingdom,overview,2021-07-08,2762,603,33340,41,175467
